place_geoid,place_name,state_code,lsad_code,functional_status,land_area_sqm,water_area_sqm,latitude,longitude,source_vintage,source_url,active_listing_count,latest_listing_date
0617610,Cupertino city,CA,25,A,29370038,2520,37.3194,-122.044957,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,11,2026-07-02
0684116,West Athens CDP,CA,57,S,3462635,0,33.923453,-118.303301,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,11,2026-07-02
0820000,Denver city,CO,25,A,396460153,4275563,39.76185,-104.881105,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,11,2026-07-02
0647766,Milpitas city,CA,25,A,34915446,99377,37.433136,-121.890934,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,10,2026-07-03
2458300,Odenton CDP,MD,57,S,38366929,0,39.066257,-76.693793,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,10,2026-07-02
2603000,Ann Arbor city,MI,25,A,73546149,2252076,42.276147,-83.73086,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,10,2026-06-25
4967000,Salt Lake City city,UT,25,A,287205577,1163131,40.776928,-111.930991,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,10,2026-06-29
0622412,El Segundo city,CA,25,A,14113054,13722008,33.910367,-118.425079,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,9,2026-07-02
1235000,Jacksonville city,FL,25,A,1935575054,329261650,30.336864,-81.661603,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,9,2026-07-03
3755000,Raleigh city,NC,25,A,394359593,2779434,35.831868,-78.641042,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,9,2026-07-02
0626000,Fremont city,CA,25,A,202285903,26263069,37.49446,-121.94115,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,8,2026-07-02
0816000,Colorado Springs city,CO,25,A,523773251,911488,38.867255,-104.760749,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,8,2026-07-06
4202896,Ardmore CDP,PA,57,S,5092328,0,40.003242,-75.294739,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,8,2026-07-02
4261000,Pittsburgh city,PA,25,A,143414838,7705629,40.439936,-79.975676,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,8,2026-07-03
4858016,Plano city,TX,25,A,185692556,922129,33.050769,-96.747944,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,8,2026-07-06
0541000,Little Rock city,AR,25,A,314018103,7655127,34.725393,-92.358556,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,7,2026-06-30
0667000,San Francisco city,CA,25,A,120913550,479701988,37.727239,-123.032229,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,7,2026-06-16
1243975,Melbourne city,FL,25,A,114502258,15073147,28.110438,-80.662717,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,7,2026-07-02
1921000,Des Moines city,IA,25,A,228332305,6608904,41.57259,-93.610243,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,7,2026-06-30
2743000,Minneapolis city,MN,25,A,139858482,9083548,44.963324,-93.26832,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,7,2026-07-04
2965000,St. Louis city,MO,25,A,159847393,11534970,38.635699,-90.244582,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,7,2026-06-24
3918000,Columbus city,OH,25,A,574796511,15172442,39.985531,-82.985594,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,7,2026-07-01
3921000,Dayton city,OH,25,A,144486433,2988000,39.784743,-84.199632,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,7,2026-07-01
4805864,Bastrop city,TX,25,A,25490045,454467,30.111067,-97.320934,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,7,2026-06-19
5101000,Alexandria city,VA,25,A,38682331,1069028,38.819251,-77.08367,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,7,2026-07-02
5103000,Arlington CDP,VA,57,S,67332992,273562,38.878337,-77.100703,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,7,2026-07-06
5148376,McLean CDP,VA,57,S,64224681,265287,38.943545,-77.192913,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,7,2026-07-06
0641992,Livermore city,CA,25,A,68816613,9862,37.686977,-121.759781,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-06-29
0653000,Oakland city,CA,25,A,144943635,57160794,37.769846,-122.22569,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-07-02
0668252,San Mateo city,CA,25,A,31381617,9667656,37.56031,-122.3106,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-07-02
0933690,Greenwich CDP,CT,57,S,12540942,839236,41.027773,-73.626931,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-07-06
1271000,Tampa city,FL,25,A,296520245,164657229,27.970086,-82.479673,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-07-03
2102368,Ashland city,KY,25,A,27804366,83246,38.459492,-82.645081,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-01-25
2404000,Baltimore city,MD,25,A,209649327,28758743,39.300032,-76.610476,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-07-02
3240000,Las Vegas city,NV,25,A,367428873,138524,36.233499,-115.264037,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-07-03
3663000,Rochester city,NY,25,A,92621742,3650730,43.169927,-77.616891,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-06-22
4105350,Beaverton city,OR,25,A,51173936,0,45.478054,-122.817075,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-06-01
4837000,Irving city,TX,25,A,173475847,2568679,32.857748,-96.970022,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-07-02
4865000,San Antonio city,TX,25,A,1292348820,14854213,29.462809,-98.524635,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-07-03
5166672,Reston CDP,VA,57,S,39737231,839108,38.949762,-77.346244,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-06-30
5548000,Madison city,WI,25,A,218116057,55508446,43.087815,-89.429856,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,6,2026-07-04
0505320,Bentonville city,AR,25,A,91921832,538013,36.352662,-94.231181,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,5,2026-07-03
